timestep;pv_factor
0;0.00
1;0.00
2;0.00
3;0.00
4;0.00
5;0.00
6;0.00
7;0.00
8;0.00
9;0.00
10;0.00
11;0.00
12;0.00
13;0.00
14;0.00
15;0.00
16;0.00
17;0.00
18;0.00
19;0.00
20;0.00
21;0.00
22;0.00
23;0.00
24;0.02
25;0.05
26;0.12
27;0.21
28;0.32
29;0.43
30;0.54
31;0.63
32;0.71
33;0.77
34;0.82
35;0.85
36;0.88
37;0.89
38;0.90
39;0.90
40;0.89
41;0.88
42;0.86
43;0.83
44;0.80
45;0.76
46;0.72
47;0.67
48;0.62
49;0.57
50;0.52
51;0.47
52;0.42
53;0.38
54;0.33
55;0.29
56;0.25
57;0.21
58;0.18
59;0.14
60;0.11
61;0.08
62;0.06
63;0.04
64;0.02
65;0.01
66;0.00
67;0.00
68;0.00
69;0.00
70;0.00
71;0.00
72;0.00
73;0.00
74;0.00
75;0.00
76;0.00
77;0.00
78;0.00
79;0.00
80;0.00
81;0.00
82;0.00
83;0.00
84;0.00
85;0.00
86;0.00
87;0.00
88;0.00
89;0.00
90;0.00
91;0.00
92;0.00
93;0.00
94;0.00
95;0.00
